EDAD_V,NIV,INGRESO,SEXO,REGION
54,3,1000,2,6
45,2,1800,1,5
52,2,,2,2
36,8,30000,1,1
47,6,1500,2,6
26,8,8500,2,3
85,2,,1,6
70,2,,2,6
63,7,,2,6
41,2,3000,1,2
42,8,,2,4
19,8,700,1,2
74,8,,2,4
65,2,,2,5
47,3,2500,2,3
58,3,10000,2,3
28,8,10000,1,6
64,2,,2,2
88,,,1,5
52,8,7500,1,5
23,8,2500,2,3
85,2,,2,3
40,8,200,2,4
58,3,1700,2,2
77,2,,2,2
44,2,,2,1
39,2,1000,2,5
79,3,,2,6
50,2,400,2,6
41,10,6000,2,5
30,8,12000,1,5
40,6,2000,1,3
80,2,,2,5
55,9,12000,1,2
55,2,,2,2
25,6,10000,2,4
27,3,1200,1,3
30,3,2400,1,2
34,3,2000,2,1
65,2,1500,1,3
45,3,,2,4
32,8,10000,2,1
32,6,2000,2,1
23,3,1500,1,1
21,6,1200,2,5
24,3,1000,2,2
22,8,,2,5
70,2,3000,2,6
52,2,600,2,2
83,2,,2,3
30,8,4000,2,1
53,2,,2,6
21,3,1200,1,6
42,8,8000,2,3
39,6,10000,2,6
57,3,4000,1,6
35,0,,2,6
37,8,50000,1,1
63,3,7000,1,2
67,8,,1,6
42,8,500,2,6
64,0,,2,2
45,3,,2,4
29,5,2000,2,5
32,8,,2,3
57,7,,2,1
71,2,,2,5
48,8,8000,2,4
36,3,1000,1,6
70,8,,1,3
54,3,3500,2,2
41,3,6000,1,2
68,2,,2,3
46,7,7900,2,4
27,8,1750,2,3
80,2,,2,5
59,2,2000,2,4
43,2,900,2,1
23,8,,2,3
43,3,3000,1,5
30,6,12000,2,4
30,6,750,2,1
56,6,12000,1,5
27,8,,1,1
64,3,,2,2
58,6,,2,4
22,3,,2,1
20,6,200,2,1
53,2,2500,1,2
39,8,20000,1,6
20,3,4000,2,6
66,2,,2,6
57,6,,2,3
52,8,5000,1,1
19,2,1200,2,1
42,2,,2,3
40,2,900,1,6
18,6,1000,2,6
35,3,1200,2,2
22,8,,2,4
66,8,50000,1,1
90,2,,1,5
59,5,,2,3
78,0,,2,6
89,2,,2,1
26,3,4700,2,6
35,3,2000,1,2
65,3,1500,2,5
35,3,,2,2
37,8,,2,6
74,2,,2,6
39,8,20000,1,5
23,3,,2,6
65,8,10000,1,5
42,3,,2,2
85,10,,1,4
51,2,2000,1,1
87,0,600,1,6
46,2,4000,2,6
51,3,1500,1,6
23,8,4000,1,1
34,6,,2,2
23,3,1500,1,3
64,7,,2,4
64,5,,2,4
74,2,,2,3
55,3,1900,1,1
43,7,4000,1,2
45,2,1500,1,3
28,3,2300,2,1
38,3,5000,1,3
26,6,1000,2,5
78,2,,1,5
38,2,500,1,1
40,6,10000,2,5
33,9,10000,2,5
44,6,1800,2,1
34,8,7000,1,4
67,8,,2,4
24,8,17000,1,3
74,0,,1,2
44,8,2100,1,1
24,3,,1,2
42,2,1500,2,5
75,0,,2,2
32,8,17000,1,4
34,8,,1,2
60,8,1500,1,5
80,2,,1,6
63,3,200,2,6
26,2,8400,1,3
31,3,2000,1,2
33,8,35000,2,4
30,10,1500,2,5
27,8,12000,1,5
39,2,3000,1,5
27,8,1100,2,5
26,8,4800,2,5
28,8,,2,3
18,6,,2,3
34,8,10000,2,6
67,3,500,2,2
72,3,,2,5
65,8,,1,2
38,6,2500,2,2
66,8,30000,1,3
57,10,13000,2,1
40,6,11000,1,4
41,3,1050,2,2
46,2,400,2,5
26,6,4500,1,5
60,8,20000,1,2
35,6,4000,1,3
18,6,4000,2,6
40,3,1000,2,2
39,3,7000,1,4
57,8,,2,4
41,8,,1,2
65,2,,2,2
47,8,6000,2,3
48,8,,1,2
41,3,1800,2,1
83,0,1500,1,1
32,6,1500,2,4
57,3,3000,1,3
23,6,2500,2,5
52,6,,2,6
47,6,,2,6
61,3,1500,1,5
55,3,1500,2,3
78,3,,1,2
42,8,4000,2,6
47,3,1700,2,5
21,6,,2,2
44,3,,2,3
31,6,2500,2,3
89,0,,2,5
65,2,3200,1,1
43,6,16000,1,1
37,7,,2,2
66,2,,2,5
51,3,0,2,5
23,6,1800,2,3
74,8,,1,4
27,8,12000,2,5
23,6,2500,1,6
46,10,10000,1,2
65,3,,2,1
65,2,0,1,1
72,2,,2,1
18,6,1900,1,2
62,2,10000,1,6
27,6,2000,1,4
55,2,,2,5
61,2,1800,1,3
42,3,2000,1,2
28,6,2500,1,2
48,3,2931,1,1
51,2,3124,1,1
23,2,1500,1,1
61,0,500,2,1
36,3,,2,1
19,3,1350,2,6
61,2,,2,3
45,3,1500,2,1
51,2,500,2,6
31,8,3000,1,2
52,8,3300,2,6
52,5,250,2,5
60,2,,2,2
36,3,10000,1,1
41,8,,2,5
65,8,,2,4
56,3,2000,1,4
79,2,0,2,5
33,2,,2,6
18,3,0,1,1
32,6,,2,3
55,3,1500,1,3
58,7,200,2,2
27,2,,2,5
62,8,,1,1
40,6,15000,1,4
41,8,6500,1,4
40,6,2500,2,6
67,11,30000,1,4
23,6,5000,2,6
20,6,1500,2,2
67,2,,2,6
42,8,17000,2,6
39,2,0,1,6
40,3,2500,1,3
20,7,,1,1
65,5,4700,2,4
63,7,,2,2
40,2,500,2,3
51,3,1200,1,6
52,6,3000,1,6
70,3,,2,2
64,5,,2,3
30,3,,2,5
46,6,15000,1,3
72,2,,2,2
31,6,,2,3
30,3,2200,2,1
38,3,,2,2
62,3,,1,2
28,8,3600,2,3
32,3,1200,2,5
53,3,300,1,1
35,3,25000,1,3
26,8,2000,1,6
46,6,1400,1,6
48,3,2000,1,3
53,2,150,2,5
36,8,10000,1,2
20,6,2000,1,1
30,2,2300,1,1
18,6,,2,4
54,6,2000,2,5
62,8,,2,1
64,3,,1,3
38,8,7300,1,3
23,3,1500,1,1
19,8,,1,1
38,6,1500,1,6
45,5,1500,2,6
62,2,,2,3
21,6,2400,1,2
59,2,,2,6
48,2,1200,2,3
54,8,10000,1,3
68,2,,2,2
38,8,,1,2
39,8,,1,2
63,3,,1,3
25,8,2000,1,2
27,8,1300,1,6
20,3,12000,2,1
20,6,,1,3
33,8,,1,2
22,3,,2,3
25,6,,2,6
40,8,3000,1,2
48,2,,2,6
28,3,2000,2,1
85,2,,1,5
43,8,25000,1,4
41,8,85000,1,1
31,6,400,1,2
66,2,2500,2,5
42,6,2600,2,3
66,3,2500,1,2
50,6,8000,2,2
35,3,1800,1,5
20,6,,2,6
31,3,1500,2,1
51,2,2100,1,1
88,3,,2,6
80,0,,1,6
63,2,,1,6
47,3,,2,5
52,8,12000,1,5
44,5,1800,1,2
59,8,,2,3
46,3,1000,2,3
68,0,,2,5
34,8,6000,2,2
49,11,20000,1,4
31,3,4000,1,2
40,2,3500,1,5
25,6,7000,2,5
49,6,4000,1,1
24,8,14000,1,2
38,8,10000,2,4
25,8,8000,2,6
40,6,20000,1,2
18,3,2500,1,2
20,6,,2,5
60,8,2000,2,4
39,3,200,2,2
50,8,20000,2,5
55,3,,2,1
45,8,7000,2,1
23,3,1800,1,6
27,3,1800,1,2
56,8,50000,2,1
67,2,,2,1
19,3,2000,1,5
42,8,6000,2,5
31,3,,2,6
52,2,,2,5
44,3,2000,1,2
44,3,3200,1,3
51,2,10000,1,1
32,6,3500,1,3
32,8,15000,2,4
75,8,,1,6
32,6,1000,1,5
83,2,,2,3
39,6,,2,3
21,8,,2,2
49,2,2500,2,1
43,2,2100,2,5
70,3,,2,4
23,6,8000,1,1
29,3,15000,1,1
27,3,1000,2,6
61,3,700,1,3
42,6,7500,2,1
19,3,2000,1,2
30,8,4000,2,6
84,2,,1,2
56,3,700,2,6
48,2,100,2,6
60,2,2000,1,2
53,6,12000,2,4
58,3,3000,1,2
28,8,500,2,1
47,8,18000,1,3
22,6,11348,1,3
58,2,,2,5
25,6,,2,5
54,6,12000,2,2
67,8,1500,2,1
27,9,7000,1,3
40,6,6200,2,5
19,8,1800,1,1
60,2,2200,1,3
44,2,,2,4
76,7,35000,1,1
77,2,,2,5
24,3,1000,1,6
33,6,0,2,2
67,6,,2,1
48,3,,2,2
64,2,1500,2,2
30,2,1000,1,6
41,2,,2,1
35,8,32000,2,3
19,6,,2,6
38,8,3000,1,2
39,6,24000,1,5
39,8,,2,1
87,0,,2,3
71,2,,2,3
38,10,10000,1,1
77,8,,1,3
56,3,1500,1,3
50,6,14000,1,3
53,0,2500,2,6
50,8,3500,2,2
62,0,,2,6
26,8,,2,1
51,3,,2,1
60,3,1200,1,6
45,6,,1,4
30,6,10000,2,4
58,0,400,2,2
58,3,,1,2
54,2,,2,5
73,2,500,2,5
36,9,2000,1,5
32,6,200,2,2
27,2,0,2,6
55,3,1800,2,3
44,2,,2,5
19,6,1100,2,1
35,8,1400,2,3
51,2,750,2,6
67,9,,1,1
31,10,16000,1,2
55,3,,1,2
22,6,11000,1,1
80,2,,2,3
48,3,,2,3
53,2,2000,1,5
40,3,2500,2,1
28,6,10600,2,2
85,2,,2,5
24,5,24000,2,2
25,8,12000,2,2
21,6,1200,2,3
43,7,10000,1,4
34,3,800,2,2
46,7,1200,2,6
65,2,20000,1,1
40,6,90000,1,1
33,9,13000,2,1
19,6,2000,2,1
72,2,,2,1
54,3,,2,4
38,8,6000,2,3
32,3,2400,1,1
26,8,2500,2,5
53,10,,2,2
68,3,,2,4
41,2,1500,1,1
24,6,2800,1,3
41,3,2000,2,2
27,2,,2,6
34,7,500,2,5
63,2,,2,2
23,6,,2,2
29,8,35000,1,2
22,6,25000,1,3
60,8,,2,6
43,2,1000,1,5
55,5,5000,2,6
35,8,9000,1,5
70,0,1500,1,6
29,8,4500,1,1
50,5,,2,4
33,2,,2,6
69,2,150,2,5
65,2,400,2,6
72,8,,1,3
20,6,,1,4
50,8,300,2,4
33,6,,2,1
37,3,1500,1,6
61,11,,1,3
65,8,,2,2
39,8,5000,2,6
46,2,1200,1,5
43,8,,1,1
38,3,2500,1,1
44,3,,2,2
62,8,8500,1,6
25,6,1500,1,6
82,2,,2,2
30,8,1500,1,3
22,3,,2,3
21,6,700,2,5
66,6,,2,3
71,2,50,2,6
75,6,,1,3
51,7,,2,2
55,0,300,1,5
31,3,1200,2,6
21,8,,1,1
30,6,3000,1,6
33,8,2500,2,3
58,2,2000,2,1
36,6,2300,1,1
47,3,2500,1,1
83,2,,1,3
39,8,3500,2,2
54,6,6000,1,1
21,0,,2,6
25,6,300,2,3
30,8,,1,3
24,6,5000,1,2
42,6,9000,2,5
45,3,2100,1,1
21,6,2500,2,2
32,8,3000,1,1
47,2,3500,1,2
61,3,,1,1
22,8,,2,5
43,6,2000,1,2
39,8,11000,1,6
20,6,700,1,5
33,3,1200,1,5
42,3,400,1,5
34,6,,2,1
51,6,,2,1
43,6,18000,1,2
45,3,2000,1,3
91,2,,1,5
84,3,,2,1
25,6,4000,1,3
21,6,,1,3
40,0,1200,2,6
30,6,20000,1,6
45,8,,1,4
82,0,,1,2
47,2,3500,1,2
34,8,200,2,3
33,8,6600,1,5
29,2,1300,2,3
35,8,20000,1,2
34,8,2300,1,1
76,2,,2,6
36,8,9000,1,3
61,0,8000,1,2
54,3,,2,2
26,6,2000,1,1
55,6,4000,2,1
44,3,3000,2,6
28,8,10000,2,5
76,3,,1,1
21,6,,2,6
18,6,2600,1,1
68,6,1500,1,5
45,6,3500,2,1
25,8,15000,1,1
20,2,,1,3
52,6,,2,4
29,8,2500,1,6
30,6,4000,1,6
20,6,1400,1,6
31,2,,2,5
18,6,,1,4
40,6,2500,2,1
40,8,10000,2,6
55,3,2600,2,1
35,3,,2,1
28,8,1700,2,6
31,8,10000,2,3
35,3,800,1,1
25,6,9500,1,5
30,6,700,2,3
18,8,400,2,5
25,8,18000,2,3
43,8,0,1,1
64,3,,1,3
85,2,,2,1
59,8,40000,2,4
29,6,,2,5
49,8,9000,1,6
75,2,,2,5
67,10,,1,4
67,2,,2,3
44,5,,2,3
60,2,3800,1,6
81,0,,1,3
21,8,4000,2,3
98,2,6000,1,4
65,0,,2,3
38,3,2500,1,3
44,0,1800,1,3
49,2,1200,1,2
45,3,1000,2,3
54,10,15000,1,3
56,3,1700,1,2
34,6,1500,1,6
21,3,2600,1,2
20,6,2650,2,1
37,8,2600,1,1
39,8,,2,1
39,3,500,2,5
37,3,1750,2,5
31,3,,2,6
31,3,200,2,6
81,2,,1,2
40,3,2000,1,1
63,2,2000,1,5
74,3,,1,3
40,8,10000,2,4
64,2,500,1,6
23,8,20000,1,6
54,3,12000,2,4
47,6,800,2,2
37,3,,2,2
39,3,2600,1,2
44,2,600,2,3
35,8,15000,1,1
33,3,3000,1,5
59,3,,2,3
61,3,,2,6
77,2,1000,1,6
30,3,3000,1,3
34,5,3500,1,2
49,2,,2,2
62,8,30000,1,4
26,8,1500,1,6
48,5,,2,5
47,2,,2,2
62,0,,2,5
53,2,2500,1,6
44,10,10000,1,3
68,2,400,1,5
18,6,,2,5
42,3,3000,2,2
38,10,,2,3
64,2,1000,1,6
34,6,,2,5
39,2,,2,2
29,3,,2,6
54,2,,2,5
39,6,4500,1,5
42,2,800,1,6
63,2,,1,3
59,8,37000,1,3
31,8,3200,2,5
66,3,,2,6
56,3,2800,2,1
23,2,2800,1,2
40,3,4000,1,1
27,3,600,2,6
36,3,600,2,6
91,2,,2,5
81,2,,1,2
53,6,4000,1,6
63,2,,2,3
43,3,2400,1,2
38,3,4000,1,1
80,2,,2,5
53,8,12000,1,6
42,6,,2,6
34,6,2000,2,3
31,3,2000,2,3
47,3,,2,2
49,8,5000,1,6
35,3,,2,2
22,2,1200,1,6
23,6,15000,1,2
28,3,250,2,3
52,8,30000,2,1
27,8,,2,2
42,8,32000,1,2
71,2,,1,3
44,3,10000,1,4
31,3,2300,1,4
18,6,,2,3
42,6,,2,3
46,6,,2,5
36,3,1500,1,6
20,3,800,2,2
20,8,2000,1,3
33,6,2500,1,3
29,8,19000,2,4
24,6,600,2,3
41,6,1800,1,5
39,3,7800,2,3
60,2,3000,1,6
34,8,15000,1,1
64,2,2700,2,1
19,3,,2,3
60,0,,2,6
40,6,800,1,6
62,3,3000,1,3
37,2,400,2,6
24,3,5000,1,6
83,0,,2,6
40,3,5000,2,5
34,8,,2,5
51,2,2000,1,6
27,8,,2,2
55,7,6000,2,2
27,8,,2,3
19,6,1500,1,2
40,3,800,2,3
71,5,,2,2
78,3,,2,5
42,5,20000,2,3
54,2,500,1,5
24,3,4800,1,2
47,3,2000,2,5
37,8,20000,2,2
20,8,,2,2
50,2,,2,6
60,8,7000,2,3
56,3,,1,5
23,3,2200,1,6
72,7,1500,2,6
58,6,2200,2,4
52,2,,2,1
61,8,,2,1
44,3,2400,1,5
24,5,5000,1,5
66,3,600,2,3
19,0,1500,2,6
19,6,2500,1,1
62,2,,1,6
22,8,12000,2,5
26,3,1000,2,5
60,3,1000,1,3
26,6,,2,2
59,8,3500,1,1
31,3,1800,1,1
32,6,3500,1,3
20,8,1000,2,6
38,6,,1,3
34,3,3000,1,1
30,2,2200,1,2
30,6,,2,3
42,6,15000,1,4
36,8,13000,1,2
41,8,1500,1,5
44,3,2000,2,6
42,6,2800,1,1
18,6,1250,1,2
28,6,6000,1,1
48,3,2000,2,1
25,6,2100,1,3
78,6,,1,5
64,2,1000,2,3
61,7,8000,2,5
30,3,2100,1,2
38,3,2200,1,3
65,2,1000,2,1
28,3,2000,1,5
49,2,2000,1,1
46,10,,2,3
23,3,1500,2,3
36,10,25000,1,3
45,3,,1,4
28,3,1200,1,5
64,2,1200,1,4
35,3,,2,4
28,3,1200,1,4
56,8,20000,2,3
69,2,,2,5
62,2,,1,1
19,3,7500,2,3
76,2,200,2,6
53,3,,2,5
32,8,6000,1,3
43,3,,2,5
34,6,2300,2,2
28,6,9000,1,4
27,6,,2,1
23,8,10000,2,6
67,6,,2,1
22,6,,2,5
49,2,3000,1,6
53,2,,2,3
26,8,,1,5
40,2,2000,2,3
66,2,1500,1,3
37,8,7500,2,2
62,3,1000,1,3
77,2,,1,6
42,8,,1,3
66,0,,2,3
60,0,200,2,5
27,8,1500,1,3
51,6,,1,2
38,8,66000,1,1
23,5,,1,2
19,6,2000,2,1
54,7,20000,1,2
32,6,,2,2
31,6,,2,4
50,2,1000,2,4
77,8,,1,2
43,3,,1,6
28,3,7572,2,1
42,8,15000,1,4
47,8,,2,2
44,6,,2,3
41,5,1600,2,2
61,3,,1,6
59,3,18000,1,6
59,3,,2,1
30,3,1900,2,3
46,2,2000,1,2
64,7,,1,3
58,3,2500,1,1
26,6,3500,1,1
76,2,1500,2,6
81,2,1000,1,2
44,8,6000,1,6
41,3,38000,1,2
30,6,10000,2,6
30,2,,2,1
20,6,,1,5
36,3,1200,2,1
61,3,1500,2,1
65,2,2000,1,3
44,3,1500,1,3
31,8,30000,1,3
69,8,,1,2
22,3,500,2,6
44,6,6000,2,6
47,2,1500,1,6
64,3,1200,1,5
40,8,30000,1,6
83,2,,1,6
56,2,300,1,6
30,8,2000,2,3
67,8,5500,1,3
31,3,10000,1,5
39,6,3000,2,2
78,6,,1,5
40,8,9000,2,4
77,5,,2,1
30,6,600,2,5
54,2,1200,2,2
63,2,,2,2
33,3,3500,2,1
47,3,1500,2,2
47,8,9800,2,4
52,2,300,2,3
25,3,4200,1,2
57,3,,1,2
83,0,,2,5
53,3,1500,2,2
25,6,2000,1,5
37,3,,2,3
37,3,10000,2,5
49,2,8000,1,6
55,6,3800,2,4
64,8,50000,1,4
56,0,700,1,6
82,0,,1,3
73,5,0,2,3
44,2,1800,1,6
40,3,,1,2
70,8,,1,3
43,8,,2,3
34,3,,2,2
41,3,3000,1,1
56,2,2500,1,3
42,8,8000,2,4
30,6,1800,1,3
63,8,14000,2,4
18,3,,1,1
44,8,,2,1
27,3,,2,5
29,3,600,2,6
36,10,7500,1,5
55,2,500,1,2
28,6,7000,1,6
22,8,,2,6
27,2,3000,2,5
43,2,600,1,5
61,8,,2,6
63,6,,2,1
40,8,25000,1,2
50,2,1000,2,6
38,10,15000,2,2
77,2,2500,2,4
23,3,,2,2
63,2,1000,1,2
23,2,4000,1,5
69,2,1500,1,5
31,2,,2,5
37,3,2500,2,2
39,3,2800,1,2
32,8,15000,2,1
50,3,2000,1,5
29,0,,2,6
33,6,,2,3
46,2,,2,6
79,0,,2,1
60,8,15000,1,4
72,2,,2,3
38,2,2200,1,1
53,0,1000,2,3
31,8,8000,2,5
25,6,1000,1,1
32,3,,2,6
48,3,1500,2,6
38,3,1800,1,1
30,6,3000,1,6
28,6,750,2,1
66,2,1800,1,1
34,0,1500,1,5
38,2,4000,1,2
44,3,5000,2,1
65,2,1200,2,4
39,0,,2,2
42,6,2000,1,5
34,6,3700,1,6
36,3,1800,1,4
26,8,3000,1,6
58,2,,1,6
37,6,4000,1,2
66,2,500,2,3
30,3,3800,1,3
39,3,2400,1,2
62,8,,1,3
27,8,3000,2,5
59,2,700,2,4
32,3,3000,1,2
44,2,2000,1,1
24,6,800,1,6
32,6,5000,1,3
89,2,,2,2
73,2,1800,1,1
60,8,30000,1,4
34,3,1600,2,4
70,8,,2,4
48,3,10000,2,3
25,8,2250,2,1
38,3,10000,2,4
46,6,1500,2,5
64,2,20000,2,3
44,3,,2,6
64,3,,1,2
20,8,,2,4
54,3,1200,1,6
22,8,2700,1,1
64,,10000,2,3
33,7,4300,2,6
34,6,1500,2,6
33,3,600,2,3
25,3,,1,3
64,2,2300,2,3
23,8,500,2,5
20,6,2300,1,2
52,8,10000,1,1
20,8,600,2,5
29,8,5000,2,2
64,8,,1,3
43,2,1300,1,3
29,6,,2,5
54,3,1000,1,5
32,6,,2,2
74,2,,2,3
23,6,2000,1,3
44,3,400,2,4
45,6,1800,1,4
40,8,9000,1,1
47,3,3000,1,5
31,6,3000,1,3
24,3,1700,2,1
80,8,,2,4
34,8,13000,1,6
26,3,,2,3
73,3,,1,2
32,3,1950,1,6
75,2,,2,1
59,2,,2,3
22,3,3000,2,1
26,6,2000,1,1
39,3,4950,2,1
61,11,,2,1
60,3,,2,4
25,8,7000,2,5
39,8,20000,1,2
27,3,2100,1,1
24,7,3500,1,5
32,8,,2,4
54,3,,2,3
64,0,900,1,6
42,3,10000,1,4
46,3,,2,2
49,2,,2,5
33,8,4000,2,1
41,8,5000,2,6
41,8,22000,1,6
78,2,,1,3
25,6,1700,2,5
66,2,,2,5
25,8,4000,2,2
24,6,3200,1,1
57,3,3000,2,3
58,10,,2,6
75,2,150,2,5
23,6,1000,2,5
22,5,,1,4
33,6,200,2,2
48,8,,1,5
79,8,2000,1,2
25,3,1200,2,3
29,3,300,2,3
84,2,300,2,5
76,0,,2,6
48,3,2500,2,4
64,2,1200,1,6
32,3,1000,1,5
60,6,,1,1
63,0,400,2,5
35,3,10000,1,4
57,6,2000,1,1
39,2,,1,6
65,6,1000,1,5
40,6,12000,1,1
39,6,,2,1
22,8,2000,1,1
75,2,1000,1,6
30,8,20000,1,2
49,2,2000,2,3
33,3,6000,2,1
50,2,,2,3
24,6,11000,1,1
25,2,,2,6
20,6,400,1,6
52,6,4500,1,6
22,6,1500,1,1
83,3,,2,3
43,6,2000,1,2
26,7,2500,2,1
58,2,2500,1,5
18,6,,2,5
65,6,,1,3
38,6,2000,1,1
38,6,3000,1,2
38,8,,2,6
41,6,9000,1,4
63,2,,2,5
33,3,2000,1,1
47,8,8000,2,3
48,3,3500,1,4
74,8,,1,6
53,3,2000,1,6
66,3,,1,3
72,3,,2,6
20,8,,1,5
35,10,20000,1,3
67,2,,2,3
29,5,7000,1,2
41,6,1300,2,5
42,8,7000,2,5
35,6,250,2,6
21,6,,2,1
40,3,5000,1,6
37,6,,2,3
45,3,2000,1,1
30,6,,2,2
66,3,2450,1,2
26,8,5200,2,5
63,6,,1,2
21,7,2000,1,2
82,8,,2,1
29,3,1800,1,1
50,6,,1,2
44,8,30000,2,3
33,10,6000,2,5
66,3,,2,3
37,6,10000,1,3
55,8,8000,2,4
53,2,,1,1
47,3,3000,1,2
52,3,250,2,3
54,6,4500,1,2
36,3,,2,6
32,3,,2,1
34,8,,2,1
48,6,30000,1,2
32,6,1500,2,6
48,2,,2,5
59,2,,2,6
36,3,2090,2,1
66,2,,2,2
53,2,,2,6
66,2,,1,2
38,8,25000,1,1
87,2,,1,5
19,8,,2,3
58,6,300,2,5
23,8,8000,1,3
22,8,,1,1
44,7,,2,2
25,8,8700,1,4
59,8,10000,1,4
66,8,,1,1
80,2,1500,1,4
40,2,3000,1,3
37,6,,2,3
65,8,7000,1,6
30,8,19000,1,3
31,8,14000,1,3
70,8,1200,1,1
41,6,,2,3
51,2,200,2,5
44,2,500,1,5
63,5,,2,2
23,8,,1,6
37,8,50000,1,4
48,6,1800,1,3
73,2,,2,6
70,3,,1,3
22,8,,1,1
22,3,9000,1,1
63,8,,1,6
63,3,8000,2,4
33,2,,2,6
44,8,5000,1,2
37,3,,2,5
49,8,80000,1,3
25,6,1800,2,4
58,6,,2,4
39,6,3500,2,4
21,6,,1,5
54,3,,2,6
46,8,13000,2,5
47,6,2000,1,1
49,3,2800,2,1
48,3,2500,1,1
59,6,2000,1,5
47,3,2000,2,6
50,8,7800,1,6
55,3,1900,1,2
27,3,600,1,2
27,8,17000,2,6
62,8,,2,3
55,3,2600,2,6
36,3,,2,3
44,3,4000,1,1
38,6,2900,2,6
21,7,2000,2,3
22,6,2500,1,1
59,3,,2,3
27,10,10000,2,5
43,3,2000,2,3
19,6,2000,1,6
48,3,,2,1
64,3,,1,5
36,6,,1,4
60,5,3000,2,2
36,2,3000,1,6
48,3,15000,2,3
35,3,,2,2
73,8,,2,3
30,6,250,2,2
52,6,1000,2,5
48,2,1300,1,5
40,2,1200,1,4
47,6,,2,3
32,3,3000,2,1
54,0,6000,2,1
80,2,1000,2,6
37,10,85000,2,1
40,5,2300,2,5
20,3,,2,1
46,3,,2,1
18,6,,2,3
52,3,5000,2,1
56,3,4500,1,2
53,2,1900,1,1
25,8,15000,2,4
42,3,1500,2,6
48,3,2000,1,5
56,3,6000,1,6
57,2,1200,1,2
78,2,,1,3
48,6,2000,2,1
28,6,8000,1,5
35,2,3800,1,4
37,3,,1,2
44,7,1600,1,1
49,8,14000,2,3
45,3,2800,2,6
57,3,1500,2,5
53,2,700,2,5
48,2,500,1,6
89,2,,2,5
52,0,600,1,6
31,3,,2,6
24,8,,1,6
36,2,1500,1,3
37,6,15000,2,5
19,6,4420,1,6
49,2,3000,1,2
19,8,,1,6
71,0,700,1,6
49,6,2500,2,5
22,2,1300,1,3
42,8,2800,1,1
25,3,5000,1,1
20,6,1500,1,2
40,0,9388,1,6
85,8,,1,1
61,2,3000,1,5
31,6,6000,2,6
24,7,,2,1
34,8,,2,4
46,6,3000,1,1
61,2,1500,2,3
58,3,10000,1,1
65,2,,2,5
79,0,,2,6
53,2,,2,5
34,2,,2,6
42,3,3800,1,6
50,2,3000,1,3
70,0,,2,6
51,6,10000,2,2
23,8,6000,1,3
48,6,1500,2,3
56,6,,2,4
76,2,,1,2
39,3,5000,1,4
49,2,,2,2
52,2,1800,2,1
80,2,,2,2
43,6,2000,2,3
45,8,3000,2,5
29,6,,2,3
90,2,,2,5
51,10,12000,1,2
65,2,,1,6
43,3,2200,1,2
78,0,,2,3
44,8,15000,1,5
24,8,3500,2,5
40,6,15000,2,4
71,2,,2,1
42,0,800,2,1
30,3,1800,1,1
72,2,900,1,3
98,3,,2,3
75,0,,2,3
48,2,,2,2
22,6,300,2,6
50,7,,2,2
62,2,1000,2,1
63,2,,2,5
55,8,,1,2
22,8,,1,4
68,3,,2,6
81,2,0,1,6
65,3,,2,4
27,3,6000,2,6
37,3,2000,1,6
75,2,,2,5
58,3,600,1,4
66,2,,2,1
52,6,2100,1,5
37,3,,2,5
73,0,1500,1,6
19,2,0,2,5
38,8,5500,2,1
67,2,,2,6
40,2,,2,3
49,3,,2,3
53,3,800,2,2
65,8,,2,3
42,3,1800,1,1
59,6,1700,1,2
43,10,34000,2,1
19,6,,1,5
52,7,10000,1,3
44,3,2000,2,2
22,8,,2,1
54,2,2500,1,5
66,2,3500,1,5
21,6,,2,5
44,2,1000,1,5
54,0,,2,6
26,8,20000,1,3
18,2,1200,1,5
30,3,500,2,1
48,10,,1,4
30,2,3700,2,6
61,2,,2,1
43,8,10500,1,1
87,2,,1,3
79,2,,2,1
29,2,2100,1,3
28,8,6200,2,1
56,8,15000,1,4
48,3,2100,1,6
53,2,3000,1,5
19,3,1500,2,6
60,3,2000,2,1
19,6,600,2,2
69,2,2000,2,6
21,2,150,1,2
30,8,40,2,3
50,3,,2,2
57,2,2000,1,1
62,8,10000,1,1
58,6,,2,1
36,3,3000,1,1
67,8,,1,1
21,8,2000,2,3
21,6,1500,2,2
41,3,1200,2,6
52,7,300,2,1
47,6,,2,6
55,3,1700,2,1
24,8,5000,2,3
18,6,3000,1,2
36,6,8000,1,2
28,8,,2,3
46,2,2500,1,3
26,8,500,1,1
28,6,2000,1,2
38,3,800,2,5
73,2,,1,5
37,8,8500,2,5
81,8,,1,5
37,6,3000,1,2
33,10,14000,2,2
39,6,7500,2,3
52,8,8000,2,2
50,7,3000,1,1
38,8,4000,2,2
57,8,10000,2,1
28,3,16000,1,3
51,6,1000,1,5
65,3,,2,5
26,3,3700,2,4
64,2,3500,1,2
75,2,,2,3
75,2,,1,3
60,8,500,2,4
25,8,6000,1,5
61,3,4500,2,5
40,3,800,2,6
25,8,2000,1,2
63,3,3800,1,6
71,2,,2,4
39,6,3500,1,1
50,3,1000,2,5
46,2,2700,1,3
66,3,1500,1,5
59,2,,2,6
30,3,1200,2,6
20,3,,2,6
70,0,,2,1
68,8,30000,1,4
34,8,1000,2,1
49,10,,2,3
65,5,200,2,3
78,10,,1,4
33,6,,2,3
52,6,,2,6
37,10,80000,2,3
62,3,100,2,5
44,6,4000,1,3
